project,budget_controls,rate_limit_controls,routing_controls,failover_controls,load_balancing,circuit_breaker,retry_timeout_controls,audit_controls,observability_controls,canary_rollout,autoscaling_support,control_coverage_note,evidence_urls
LiteLLM,native (max_budget/user/team/key),native (rpm/tpm, per key/team/model),native (strategy + alias + priority),native (fallbacks/context/content-policy),native,native (allowed_fails/cooldown),native (num_retries/request_timeout),native (x-litellm-call-id,cost headers,logging spec),native (otel/langfuse callbacks),partial (via upstream mesh/serving),partial (via KEDA/HPA external),"Gateway-side controls most complete in OSS AI gateway set","https://docs.litellm.ai/docs/proxy/users|https://docs.litellm.ai/docs/proxy/load_balancing|https://docs.litellm.ai/docs/proxy/reliability|https://docs.litellm.ai/docs/proxy/logging"
Portkey,partial (virtual keys/model catalog budgets),native (rate limiting feature),native (conditional routing configs),native (fallbacks + retries),native,partial (depends on config semantics),native (request timeouts + retries),native (org-wide logs, traces),native (real-time monitoring/logging),native (canary testing),partial (infra-level external),"Feature claims strong, but many details are product-doc level not low-level spec","https://portkey.ai/features/ai-gateway|https://portkey.ai/docs/product/ai-gateway/configs|https://portkey.ai/docs/product/ai-gateway/virtual-keys"
Kong AI Gateway,partial (cost control/caching claims),partial (policy plugins),native (multi-provider routing claims),native (provider switch/high availability),partial,native (gateway/mesh patterns),partial (policy-based),native (AI analytics + governance positioning),native (L7 AI observability claims),partial,partial,"Enterprise feature set broad; detailed config depth depends on edition/plugins","https://konghq.com/products/kong-ai-gateway/|https://github.com/Kong/kong"
Apache APISIX,partial (requires external metering),native (limit-req),native (dynamic routing + canary release),partial (health checks + retries),native,native (api-breaker),partial (plugin/policy),partial (via logs/headers/plugins),partial-high (prometheus/logging integrations),native (canary release on homepage),partial (external HPA/KEDA),"Traffic governance very strong, AI cost controls rely on external systems","https://apisix.apache.org/|https://apisix.apache.org/docs/apisix/plugins/limit-req/|https://apisix.apache.org/docs/apisix/plugins/api-breaker/"
Istio,external (budget from metering systems),partial (via Envoy/Policy integrations),native (request routing/traffic policy),native (outlier + ejection + rollback patterns),native,native,native (retry/timeout/fault injection),partial (telemetry/audit via addons),native (mesh telemetry),partial (with rollout tooling),partial (K8s HPA/KEDA),"SLA and failure-domain controls are strongest, but budget needs external metering","https://istio.io/latest/docs/tasks/traffic-management/circuit-breaking/|https://github.com/istio/istio"
Envoy,external,partial (with ratelimit service),native (LB + cluster policies),native (outlier ejection),native,native,partial (policy config in filters/routes),partial (ejection event logging),native (rich stats/logging/tracing hooks),partial,partial,"Best-in-class data-plane resiliency; governance needs control-plane composition","https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/outlier|https://github.com/envoyproxy/envoy"
envoyproxy/ratelimit,external, native (global rate-limit service),external,partial,external,external,external,partial,partial,none,none,"Specialized quota/rate control component for gateway plane","https://github.com/envoyproxy/ratelimit"
vLLM,external,external,partial (OpenAI-compatible serving endpoints),partial (depends on upstream router),partial,external,partial,partial (serving telemetry via ecosystem),partial,none,partial (with KEDA/HPA),"Inference throughput/runtime strengths; governance controls are mostly upstream","https://docs.vllm.ai/|https://github.com/vllm-project/vllm"
SGLang,external,external,partial (OpenAI-compatible + model gateway docs),partial,partial,external,partial,partial,native-partial (observability docs),none,partial,"High-performance runtime with observability/model-gateway docs, budget controls external","https://docs.sglang.ai/|https://github.com/sgl-project/sglang"
KServe,external,partial (through ingress/mesh),native (traffic split + rollout),native (rollback to good revision),partial,partial (via mesh),partial,partial,partial-high (K8s observability stack),native (canaryTrafficPercent),native (K8s autoscaling patterns),"Serving control plane with strong rollout semantics","https://kserve.github.io/website/latest/modelserving/v1beta1/rollout/canary/|https://github.com/kserve/kserve"
OpenMeter,native (entitlements/limits/usage quotas),partial (limits as entitlement policy),external,external,none,none,none,native (billing-grade usage records),partial (usage analytics),none,none,"Budget/entitlement authority layer; pair with gateway/router for enforcement","https://openmeter.io/docs/billing/entitlements/overview|https://openmeter.io/docs/billing/entitlements/entitlement#metered-entitlements|https://github.com/openmeterio/openmeter"
Langfuse,partial (cost/usage tracking by user/session),none,none,none,none,none,none,native (trace/session/user/eval linkage),native (OTel-based tracing/evals/dashboard),none,none,"Strong for audit/evals/forensics, not traffic enforcement","https://langfuse.com/docs|https://github.com/langfuse/langfuse"
Helicone,partial (cost + caching + user metrics),native (rate limiting feature),none,partial (retries),none,none,native (retries),native (prompt logging/custom properties),native (gateway + metrics),none,none,"Observability-first gateway add-on with practical cost/latency controls","https://docs.helicone.ai/introduction|https://github.com/Helicone/helicone"
OpenTelemetry Collector,none,none,none,none,none,none,none,partial (telemetry pipeline for audit),native (vendor-neutral telemetry),none,none,"Telemetry backbone, not control plane","https://github.com/open-telemetry/opentelemetry-collector"
Prometheus,none,none,none,none,none,none,none,partial (metrics retention + alerts),native (time-series alerting),none,none,"SLA/SLO metric source of truth","https://github.com/prometheus/prometheus"
Grafana,none,none,none,none,none,none,none,partial (dashboards for audit views),native (cross-signal visualization/alerting),none,none,"Ops cockpit for latency/error/cost visualization","https://github.com/grafana/grafana"
KEDA,none,none,none,partial (scale from queue pressure),none,none,none,partial,partial (metrics-driven scaling),none,native (event-driven autoscaling/scale to zero),"Critical elasticity component, complements gateway/mesh","https://keda.sh/docs/latest/concepts/scaling-deployments/|https://github.com/kedacore/keda"
