rank,stack_role,project,fit_scenario,why_selected,key_tradeoff,adoption_priority,source_url
1,AI Gateway,LiteLLM,Multi-provider AI gateway with fast rollout,Strong cost-tracking plus broad provider compatibility and load-balancing semantics,License shown as NOASSERTION in API metadata,P0,https://github.com/BerriAI/litellm
2,Traffic Resilience,Istio,Enterprise SLA and fault-tolerance baseline,Native circuit-breaker/fault-injection/request-routing patterns harden production traffic,Operational complexity is non-trivial,P0,https://github.com/istio/istio
3,Inference Runtime,vLLM,High-throughput shared serving clusters,High-throughput/memory-efficient serving profile maps to gateway backends,Ecosystem churn and compatibility tuning overhead,P0,https://github.com/vllm-project/vllm
4,Cost Governance,OpenMeter,Usage-based budget and chargeback governance,Real-time metering/billing closes FinOps loop for AI requests,Needs integration work with gateway telemetry,P0,https://github.com/openmeterio/openmeter
5,Observability Backbone,OpenTelemetry Collector,Vendor-neutral telemetry pipeline foundation,Standardized traces/metrics/log export across heterogeneous gateway stack,Requires consistent instrumentation discipline,P0,https://github.com/open-telemetry/opentelemetry-collector
6,Observability Product,Langfuse,LLM tracing/evals and prompt governance,Directly supports quality loops and forensic traceability for incidents,License shown as NOASSERTION in API metadata,P1,https://github.com/langfuse/langfuse
7,Rate Limiting,envoyproxy/ratelimit,Quota and abuse control at traffic edge,Simple dedicated service for global rate limiting with Envoy ecosystems,Not a full governance plane by itself,P1,https://github.com/envoyproxy/ratelimit
8,API Gateway (Org Policy),Kong/kong,Enterprise policy/plugin governance plane,Mature plugin and gateway ecosystem with AI gateway direction,Can be heavyweight for small teams,P1,https://github.com/Kong/kong
9,Alt Inference Runtime,SGLang,Second runtime pool for model diversity and failover,High-performance serving option improves backend diversity and resilience,Fast-moving stack may require frequent retesting,P1,https://github.com/sgl-project/sglang
10,Local Fallback Runtime,Ollama,Private/offline fallback and developer parity,Local model serving lowers dependency on external providers during incidents,Not ideal as sole high-scale production runtime,P2,https://github.com/ollama/ollama
