artifact_id,file_path,produced_by,stage,description,retention_days,source_links
EVD-001,w2_mcp_ecosystem_map.csv,research_scan,w2,50-project MCP ecosystem structured map,365,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md|https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
EVD-002,w2_mcp_ecosystem_analysis.md,research_scan,w2,ecosystem trend and recommendation analysis,365,https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md|https://modelcontextprotocol.io/specification/2025-11-25/basic/transports.md
EVD-003,w2_mcp_shortlist_top15.csv,selection,w2,top15 shortlist on deployability risk maintenance axes,365,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md|https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
EVD-004,w2_mcp_shortlist_top15.md,selection,w2,shortlist rationale and phased adoption tiers,365,https://modelcontextprotocol.io/community/sdk-tiers.md|https://modelcontextprotocol.io/specification/versioning.md
EVD-005,w2_mcp_deep_dive_top15_matrix.csv,deep_dive,w2,field-rich top15 technical matrix with breakpoints,540,https://raw.githubusercontent.com/1mcp-app/agent/main/README.md|https://raw.githubusercontent.com/isaac-levine/forage/main/README.md|https://raw.githubusercontent.com/metatool-ai/metatool-app/main/README.md
EVD-006,w3_mcp_execution_checklist.md,execution_design,w3,p0-p1 implementation checklist with exit criteria,365,https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md|https://modelcontextprotocol.io/specification/2025-11-25/basic/transports.md
EVD-007,w3_mcp_ci_gates.csv,execution_design,w3,ci gate catalog with pass/fail action mapping,365,https://modelcontextprotocol.io/specification/versioning.md|https://modelcontextprotocol.io/registry/about.md
EVD-008,w3_mcp_server_contract_template.json,execution_design,w3,reusable MCP server contract template,540,https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md|https://modelcontextprotocol.io/specification/versioning.md
EVD-009,w3_mcp_execution_playbook_detailed.md,execution_design,w3,stage-by-stage operation playbook with thresholds,540,https://modelcontextprotocol.io/docs/tools/inspector.md|https://modelcontextprotocol.io/community/sdk-tiers.md
EVD-010,w3_mcp_gate_testcases.csv,execution_design,w3,gate-level executable testcase list,365,https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md|https://modelcontextprotocol.io/specification/2025-11-25/basic/transports.md
EVD-011,w4_mcp_server_contract_field_spec.md,governance,w4,field-level contract policy and rejection rules,540,https://modelcontextprotocol.io/specification/versioning.md|https://modelcontextprotocol.io/specification/2025-11-25/server/tools.md
EVD-012,w4_mcp_p0_tool_test_matrix.csv,governance,w4,p0 tools test matrix for filesystem git fetch,540,https://modelcontextprotocol.io/docs/develop/connect-local-servers.md|https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
EVD-013,w4_mcp_aggregator_threat_model.md,governance,w4,aggregator threat model and attack simulation playbook,540,https://raw.githubusercontent.com/1mcp-app/agent/main/README.md|https://raw.githubusercontent.com/isaac-levine/forage/main/README.md|https://raw.githubusercontent.com/metatool-ai/metatool-app/main/README.md
EVD-014,w5_mcp_ci_job_spec.md,operationalization,w5,ci job-level execution spec across lifecycle stages,365,https://modelcontextprotocol.io/specification/2025-11-25/basic/transports.md|https://modelcontextprotocol.io/docs/tools/inspector.md
EVD-015,w5_mcp_release_readiness_scorecard.csv,operationalization,w5,weighted release readiness scorecard template,365,https://modelcontextprotocol.io/community/sdk-tiers.md|https://modelcontextprotocol.io/specification/versioning.md
EVD-016,w5_mcp_evidence_manifest.csv,operationalization,w5,evidence index and retention mapping for auditability,365,https://modelcontextprotocol.io/registry/about.md
