control_id,control_name,category,owlclaw_module,implementation_pattern,owner_role,primary_metric,target,gate_type,evidence_artifact,source_urls,priority,phase
IP-01,Ingress Injection Gate,输入防护,api-gateway,Pre-LLM risk scoring plus injection classifier plus hard blocklist,Security Engineer,high_risk_injection_recall,>=0.90,pre_runtime,injection_eval_report.json,https://api.github.com/repos/protectai/llm-guard|https://api.github.com/repos/NVIDIA/garak|https://api.github.com/repos/promptfoo/promptfoo,P0,0-30d
IP-02,Indirect Injection Regression,输入防护,rag-orchestrator,CI red-team suite for retrieved webpage and document prompts,LLM Engineer,indirect_injection_block_rate,>=0.85,ci,redteam_ci_history.csv,https://api.github.com/repos/microsoft/BIPIA|https://api.github.com/repos/Azure/PyRIT,P0,0-30d
IP-03,Prompt Attack Corpus Maintenance,输入防护,security-evals,Curated attack corpus with archived and active examples,Security Engineer,corpus_refresh_sla_days,<=30,process,attack_corpus_manifest.yaml,https://api.github.com/repos/protectai/rebuff|https://api.github.com/repos/trailofbits/copilot-prompt-injection-demo,P1,31-60d
TB-01,Deny-By-Default Tool Policy,工具权限边界,tool-router,Subject resource action condition policy check before tool call,Platform Engineer,unauthorized_tool_call_success_rate,=0.00,pre_runtime,policy_decision_log.parquet,https://api.github.com/repos/open-policy-agent/opa|https://api.github.com/repos/openfga/openfga,P0,0-30d
TB-02,High-Risk Dual Authorization,工具权限边界,tool-router,Policy allow plus runtime risk allow for command or write or external-call tools,Security Engineer,high_risk_tool_block_rate,>=0.95,pre_runtime,high_risk_tool_audit.json,https://api.github.com/repos/cedar-policy/cedar|https://api.github.com/repos/open-policy-agent/gatekeeper,P0,0-30d
TB-03,Fine-Grained Permission Graph,工具权限边界,authz-service,Zanzibar style relation tuples for tenant and workspace and asset permissions,Platform Engineer,policy_eval_p95_ms,<=30,pre_runtime,authz_latency_dashboard.png,https://api.github.com/repos/authzed/spicedb|https://api.github.com/repos/ory/keto|https://api.github.com/repos/casbin/casbin,P1,31-60d
TB-04,Sandboxed Execution Plane,工具权限边界,execution-runtime,Isolated runtime with restricted network FS and ephemeral credentials,SRE,host_escape_incidents,=0,runtime,sandbox_isolation_test_report.md,https://api.github.com/repos/e2b-dev/E2B|https://api.github.com/repos/alibaba/OpenSandbox|https://api.github.com/repos/abshkbh/arrakis|https://api.github.com/repos/SWE-agent/SWE-ReX,P0,0-30d
OV-01,Structured Output Guard,输出校验,response-guardrail,Schema and policy validation for executable outputs,LLM Engineer,unsafe_structured_output_pass_rate,<=0.01,pre_execution,guardrail_validation_log.jsonl,https://api.github.com/repos/guardrails-ai/guardrails|https://api.github.com/repos/NVIDIA-NeMo/Guardrails,P0,0-30d
OV-02,Secrets and PII Outbound Scan,输出校验,response-guardrail,Pre-delivery scanning and masking for keys tokens PII,Security Engineer,secret_or_pii_leakage_events,=0,pre_execution,outbound_dlp_report.csv,https://api.github.com/repos/microsoft/presidio|https://api.github.com/repos/gitleaks/gitleaks,P0,0-30d
OV-03,Generated Code Security Scan,输出校验,artifact-gate,Static and dependency and image vulnerability scanning before apply/deploy,AppSec Engineer,critical_vuln_escape_rate,=0.00,pre_release,artifact_security_scan.sarif,https://api.github.com/repos/semgrep/semgrep|https://api.github.com/repos/google/osv-scanner|https://api.github.com/repos/aquasecurity/trivy|https://api.github.com/repos/anchore/grype,P0,0-30d
OV-04,Safety Refusal Drift Tracking,输出校验,model-eval-pipeline,Fixed benchmark runs per model or prompt release,LLM Engineer,safety_refusal_score_drop,<=0.03,ci,safety_benchmark_trend.csv,https://api.github.com/repos/SORRY-Bench/sorry-bench|https://api.github.com/repos/Giskard-AI/phare,P1,31-60d
AT-01,Unified Security Event Schema,审计追踪,telemetry-pipeline,OTel semantic conventions for input decision tool and output events,Data Engineer,event_schema_coverage,>=0.95,runtime,otel_schema_conformance_report.md,https://api.github.com/repos/open-telemetry/opentelemetry-specification|https://api.github.com/repos/open-telemetry/opentelemetry-collector,P0,0-30d
AT-02,Decision Traceability,审计追踪,obs-platform,Correlate model version prompt version policy version and tool action id,SRE,p1_incident_replayability,>=0.95,runtime,incident_replay_checklist.xlsx,https://api.github.com/repos/langfuse/langfuse|https://api.github.com/repos/Arize-ai/phoenix|https://api.github.com/repos/truera/trulens,P0,0-30d
AT-03,Runtime Threat Detection,审计追踪,runtime-security,Detect anomalous process and syscall patterns in agent sandboxes,SRE,mean_time_to_detect_minutes,<=5,runtime,runtime_detection_alerts.json,https://api.github.com/repos/falcosecurity/falco|https://api.github.com/repos/elastic/detection-rules,P1,31-60d
PG-01,SBOM Generation and Storage,策略执行,build-pipeline,Generate and persist SBOM for each releasable artifact,DevOps Engineer,sbom_coverage,=1.00,pre_release,sbom_index.json,https://api.github.com/repos/anchore/syft,P1,31-60d
PG-02,Artifact Signature Verification,策略执行,deploy-gate,Block deployment of unsigned or unverified artifacts,DevOps Engineer,unsigned_artifact_deployments,=0,pre_deploy,signature_verification_log.jsonl,https://api.github.com/repos/sigstore/cosign,P0,0-30d
PG-03,Provenance Attestation Gate,策略执行,deploy-gate,Require provenance attestations tied to build and source metadata,DevOps Engineer,attested_release_ratio,=1.00,pre_deploy,provenance_attestation_bundle.json,https://api.github.com/repos/in-toto/in-toto|https://api.github.com/repos/slsa-framework/slsa,P1,31-60d
PG-04,External Control Mapping,策略执行,governance-registry,Map internal controls to OWASP LLM and MITRE ATLAS and EU AI Act,GRC Lead,mapped_controls_ratio,=1.00,governance,control_crosswalk.xlsx,https://owasp.org/www-project-top-10-for-large-language-model-applications/|https://atlas.mitre.org|https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,P2,61-90d
